X--Trace 1::[interactive: TIME],Y--Trace 1::[V_in: V(2)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[V_out: V(3)]
2.1707500000000004,0.499999999999055,,2.1707500000000004,0.8020077141146288
2.1708500000000006,0.2999999999986329,,2.1708500000000006,0.8002694769640222
2.170950000000001,0.09999999999821085,,2.170950000000001,0.802174888035617
2.171,0,,2.171,0.8000187012517448
2.17101,0.019999999999242846,,2.17101,-0.7988300727792802
2.17103,0.059999999999504894,,2.17103,-0.7983946882512745
2.17107,0.1399999999991408,,2.17107,-0.7994521725730925
2.17115,0.2999999999993008,,2.17115,-0.7980837527146872
2.17125,0.4999999999997229,,2.17125,-0.7996387110007767
2.1713500000000003,0.700000000000145,,2.1713500000000003,-0.7979179355672187
2.1714500000000005,0.900000000000567,,2.1714500000000005,-0.7998045337259742
2.1715000000000004,0.999999999999666,,2.1715000000000004,-0.797669186733996
2.1715100000000005,0.979999999999535,,2.1715100000000005,0.8011932965606561
2.1715300000000006,0.939999999999273,,2.1715300000000006,0.8007500662456494
2.1715700000000004,0.859999999999637,,2.1715700000000004,0.8018197111512112
2.1716500000000005,0.699999999999477,,2.1716500000000005,0.8004365834545683
2.1717500000000007,0.499999999999055,,2.1717500000000007,0.8020077827092205
2.171850000000001,0.2999999999986329,,2.171850000000001,0.800269401619849
2.171950000000001,0.09999999999821085,,2.171950000000001,0.8021749700525395
2.172,0,,2.172,0.8000186060952778
2.17201,0.020000000000131024,,2.17201,-0.7988300576133203
2.1720300000000003,0.06000000000039307,,2.1720300000000003,-0.7983947006909926
2.17207,0.140000000000029,,2.17207,-0.7994521619479076
2.1721500000000002,0.300000000000189,,2.1721500000000002,-0.7980837623191358
2.1722500000000005,0.5000000000006111,,2.1722500000000005,-0.7996387022452172
2.1723500000000007,0.7000000000010331,,2.1723500000000007,-0.7979179435136049
2.172450000000001,0.9000000000014552,,2.172450000000001,-0.799804526487777
2.1725000000000003,0.999999999999666,,2.1725000000000003,-0.7976691927698752
2.1725100000000004,0.979999999999535,,2.1725100000000004,0.8011932882491138
2.1725300000000005,0.939999999999273,,2.1725300000000005,0.8007500951292403
2.1725700000000003,0.859999999999637,,2.1725700000000003,0.8018196678132095
2.1726500000000004,0.699999999999477,,2.1726500000000004,0.8004366344991858
2.1727500000000006,0.499999999999055,,2.1727500000000006,0.8020077254609894
2.172850000000001,0.2999999999986329,,2.172850000000001,0.800269465036406
2.172950000000001,0.09999999999821085,,2.172950000000001,0.8021749004930292
2.173,0,,2.173,0.8000186878934591
2.17301,0.020000000000131024,,2.17301,-0.7988300739692177
