Wavelength (nm),%T
412.98474,69.81816
411.98181,69.40547
411.0173,69.07219
410.01407,68.83761
409.01062,68.57355
408.00708,68.41408
407.00333,68.30933
405.99945,68.25331
404.99533,68.27384
403.99112,68.34312
402.98672,68.51115
401.98212,68.68508
401.01602,68.9791
400.01117,69.25401
399.0061,69.58456
398.00092,69.98894
396.99551,70.38896
395.98999,70.81797
394.98428,71.28439
394.01709,71.78417
393.01111,72.23921
392.00491,72.72279
390.99857,73.08346
389.9921,73.46116
388.98544,73.78462
388.01733,73.9822
387.01041,74.12491
386.00327,74.15737
384.996,74.05899
383.98859,73.88295
382.98099,73.54155
382.01199,73.08858
381.00409,72.40345
379.99603,71.69813
378.98782,70.86355
378.01825,69.85458
377.00974,68.88107
376.0011,67.75323
374.99225,66.4716
373.98331,65.2885
373.013,63.92604
372.00372,62.76094
370.99432,61.30276
369.98474,60.01089
369.01386,58.85125
368.00397,57.46482
366.99399,56.29787
365.9838,55.19079
365.01236,54.12265
364.00192,53.17886
362.9913,51.9581
361.98059,51.19719
361.00854,50.5302
359.9975,49.82106
358.9863,49.38285
358.01386,48.64046
357.00241,48.35143
355.99078,47.9043
355.01791,47.44641
354.00604,47.11036
352.99399,46.70714
351.98181,46.29159
351.00842,45.85622
349.99594,45.29729
348.98334,44.76826
348.00952,44.07888
346.99661,43.35655
345.98358,42.39707
345.0094,41.4441
343.99609,40.37606
342.98264,39.12428
342.00803,37.82106
340.99429,36.40342
340.01947,35.04736
339.00546,33.43252
337.99133,31.93802
337.01605,30.47832
336.00165,28.91924
334.98712,27.3262
334.01147,26.02852
332.99667,24.52287
331.98172,23.32785
331.00568,22.01871
329.99048,20.67643
329.01422,19.60193
327.99872,18.44797
326.98312,17.25163
326.00644,16.27847
324.99057,15.17599
324.01367,14.30582
322.99756,13.33326
321.98126,12.41425
321.00397,11.48701
319.98749,10.44527
319.00995,9.66186
317.99316,8.77787
317.01538,8.06428
315.99835,7.16582
314.9812,6.38109
314.00305,5.70923
312.98566,5.01778
312.00726,4.43082
310.98962,3.89662
310.01099,3.39079
308.99307,2.89503
308.01422,2.5065
306.99609,2.10945
306.01697,1.86126
304.99857,1.5533
304.01926,1.29858
303.00064,1.04446
301.98184,0.87317
301.00214,0.70557
299.98315,0.59792
